Assemblage	Diversity	Observed	Estimator	s.e.	LCL	UCL
BOLD:AAB4616	Simpson diversity	1	1	0	1	1
BOLD:AAB4617	Species richness	1	1	0	1	1
BOLD:AAB4617	Shannon diversity	1	1	0	1	1
BOLD:AAB4617	Simpson diversity	1	1	0	1	1
BOLD:AAB4618	Species richness	1	1	0	1	1
BOLD:AAB4618	Shannon diversity	1	1	0	1	1
BOLD:AAB4618	Simpson diversity	1	Inf	NA	NA	NA
BOLD:AAB4620	Species richness	1	1	0	1	1
BOLD:AAB4620	Shannon diversity	1	1	0	1	1
BOLD:AAB4620	Simpson diversity	1	Inf	NA	NA	NA
BOLD:AAB4663	Species richness	1	1	0	1	1
BOLD:AAB4663	Shannon diversity	1	1	0	1	1
BOLD:AAB4663	Simpson diversity	1	1	0	1	1
BOLD:AAB4964	Species richness	1	1	0	1	1
BOLD:AAB4964	Shannon diversity	1	1	0	1	1
BOLD:AAB4964	Simpson diversity	1	1	0	1	1
BOLD:AAB4967	Species richness	1	1	0	1	1
BOLD:AAB4967	Shannon diversity	1	1	0	1	1
BOLD:AAB4967	Simpson diversity	1	1	0	1	1
BOLD:AAB5051	Species richness	2	2	0.14070529413628968	2	2.2757773089412425
BOLD:AAB5051	Shannon diversity	1.9378192408783848	2.0715017131073656	0.2201757233458201	1.6399652250795036	2.5030382011352277
BOLD:AAB5051	Simpson diversity	1.8823529411764706	2.153846153846154	0.34004226168419704	1.487375567723584	2.8203167399687246
BOLD:AAB5265	Species richness	1	1	0	1	1
BOLD:AAB5265	Shannon diversity	1	1	0	1	1
BOLD:AAB5265	Simpson diversity	1	1	0	1	1
BOLD:AAB5266	Species richness	1	1	0	1	1
BOLD:AAB5266	Shannon diversity	1	1	0	1	1
BOLD:AAB5266	Simpson diversity	1	Inf	NA	NA	NA
BOLD:AAB5267	Species richness	1	1	0	1	1
BOLD:AAB5267	Shannon diversity	1	1	0	1	1
BOLD:AAB5267	Simpson diversity	1	1	0	1	1
BOLD:AAB5269	Species richness	1	1	0	1	1
BOLD:AAB5269	Shannon diversity	1	1	0	1	1
BOLD:AAB5269	Simpson diversity	1	Inf	NA	NA	NA
BOLD:AAB5270	Species richness	1	1	0	1	1
BOLD:AAB5270	Shannon diversity	1	1	0	1	1
BOLD:AAB5270	Simpson diversity	1	1	0	1	1
BOLD:AAB5895	Species richness	1	1	0	1	1
BOLD:AAB5895	Shannon diversity	1	1	0	1	1
BOLD:AAB5895	Simpson diversity	1	1	0	1	1
BOLD:AAB5896	Species richness	1	1	0	1	1
BOLD:AAB5896	Shannon diversity	1	1	0	1	1
BOLD:AAB5896	Simpson diversity	1	1	0	1	1
BOLD:AAB5948	Species richness	2	2	0	2	2
BOLD:AAB5948	Shannon diversity	1.9260702242522327	1.9714712301703132	0.11755768133050797	1.741062408656481	2.2018800516841455
BOLD:AAB5948	Simpson diversity	1.8615384615384616	1.9411764705882386	0.18921772886825217	1.5703165367699996	2.3120364044064776
BOLD:AAB6678	Species richness	1	1	0	1	1
BOLD:AAB6678	Shannon diversity	1	1	0	1	1
BOLD:AAB6678	Simpson diversity	1	Inf	NA	NA	NA
BOLD:AAB6679	Species richness	1	1	0	1	1
BOLD:AAB6679	Shannon diversity	1	1	0	1	1
BOLD:AAB6679	Simpson diversity	1	1	0	1	1
BOLD:AAB6680	Species richness	1	1	0	1	1
BOLD:AAB6680	Shannon diversity	1	1	0	1	1
BOLD:AAB6680	Simpson diversity	1	1	0	1	1
BOLD:AAB6681	Species richness	1	1	0	1	1
BOLD:AAB6681	Shannon diversity	1	1	0	1	1
BOLD:AAB6681	Simpson diversity	1	1	0	1	1
BOLD:AAB6682	Species richness	1	1	0	1	1
BOLD:AAB6682	Shannon diversity	1	1	0	1	1
BOLD:AAB6682	Simpson diversity	1	1	0	1	1
BOLD:AAB7011	Species richness	2	2	0.4560480215720683	2	2.8938376975019993
BOLD:AAB7011	Shannon diversity	1.5069930657725377	1.636986649448794	0.36585429984589146	0.9199253981617292	2.354047900735859
BOLD:AAB7011	Simpson diversity	1.3243243243243243	1.4000000000000006	0.3469511505543231	0.7199882405187936	2.0800117594812075
BOLD:AAB7050	Species richness	1	1	0	1	1
BOLD:AAB7050	Shannon diversity	1	1	0	1	1
BOLD:AAB7050	Simpson diversity	1	1	0	1	1
BOLD:AAB7051	Species richness	1	1	0	1	1
BOLD:AAB7051	Shannon diversity	1	1	0	1	1
BOLD:AAB7051	Simpson diversity	1	1	0	1	1
BOLD:AAB7052	Species richness	1	1	0	1	1
BOLD:AAB7052	Shannon diversity	1	1	0	1	1
BOLD:AAB7052	Simpson diversity	1	Inf	NA	NA	NA
BOLD:AAB7111	Species richness	1	1	0	1	1
BOLD:AAB7111	Shannon diversity	1	1	0	1	1
BOLD:AAB7111	Simpson diversity	1	1	0	1	1
BOLD:AAB7112	Species richness	1	1	0	1	1
BOLD:AAB7112	Shannon diversity	1	1	0	1	1
BOLD:AAB7112	Simpson diversity	1	1	0	1	1
BOLD:AAB7113	Species richness	1	1	0	1	1
BOLD:AAB7113	Shannon diversity	1	1	0	1	1
BOLD:AAB7113	Simpson diversity	1	1	0	1	1
BOLD:AAB7344	Species richness	2	2	0	2	2
BOLD:AAB7344	Shannon diversity	1.9835858466340404	1.9964258364532494	0.032892018535769806	1.931958664744317	2.060893008162182
BOLD:AAB7344	Simpson diversity	1.9676584734799483	1.9927007299270039	0.06159704949849698	1.8719727313560186	2.113428728497989
BOLD:AAB7346	Species richness	1	1	0	1	1
BOLD:AAB7346	Shannon diversity	1	1	0	1	1
BOLD:AAB7346	Simpson diversity	1	1	0	1	1
BOLD:AAB7847	Species richness	1	1	0	1	1
BOLD:AAB7847	Shannon diversity	1	1	0	1	1
BOLD:AAB7847	Simpson diversity	1	1	0	1	1
BOLD:AAB7942	Species richness	1	1	0	1	1
BOLD:AAB7942	Shannon diversity	1	1	0	1	1
BOLD:AAB7942	Simpson diversity	1	1	0	1	1
BOLD:AAB7943	Species richness	3	3	0.5159611204210314	3	4.011265213448155
BOLD:AAB7943	Shannon diversity	2.4782069486465024	2.7352996229897	0.4426501402265245	1.8677212903941078	3.6028779555852926
BOLD:AAB7943	Simpson diversity	2.1228070175438596	2.3913043478260856	0.548551157113733	1.3161638362053965	3.4664448594467747
BOLD:AAB8262	Species richness	1	1	0	1	1
BOLD:AAB8262	Shannon diversity	1	1	0	1	1
BOLD:AAB8262	Simpson diversity	1	1	0	1	1
BOLD:AAB8263	Species richness	1	1	0	1	1
BOLD:AAB8263	Shannon diversity	1	1	0	1	1
BOLD:AAB8263	Simpson diversity	1	1	0	1	1
BOLD:AAB8264	Species richness	1	1	0	1	1
BOLD:AAB8264	Shannon diversity	1	1	0	1	1
BOLD:AAB8264	Simpson diversity	1	1	0	1	1
BOLD:AAB8265	Species richness	1	1	0	1	1
BOLD:AAB8265	Shannon diversity	1	1	0	1	1
BOLD:AAB8265	Simpson diversity	1	Inf	NA	NA	NA
BOLD:AAB8266	Species richness	1	1	0	1	1
BOLD:AAB8266	Shannon diversity	1	1	0	1	1
BOLD:AAB8266	Simpson diversity	1	1	0	1	1
BOLD:AAB8398	Species richness	1	1	0	1	1
BOLD:AAB8398	Shannon diversity	1	1	0	1	1
BOLD:AAB8398	Simpson diversity	1	Inf	NA	NA	NA
