processid	bin_uri	order_name	lat	lon	country	hemisphere	lat_bin	lat_max	lat_mid	lat_min	lat_band	continent	lat_median
ABR199-13	BOLD:ACT3765	Anura	7.963	-77.704	Panama	Northern	7	10	5	0	7	Americas	7.756
BIFZH127-17	BOLD:ADO1489	Anura	-3.71605	134.069	Indonesia	Southern	8	0	-5	-10	8	Asia	-5.04883
DBNGF076-10	BOLD:AAZ3766	Anura	-5.13	145.77	Papua New Guinea	Southern	8	0	-5	-10	8	Oceania	-5.04883
GBAAW52263-24	BOLD:AGE7671	Anura	5	-75.43	Colombia	Northern	7	10	5	0	7	Americas	7.756
GBAP20049-19	BOLD:AEB3785	Anura	38.0733	104.691	China	Northern	4	40	35	30	4	Asia	38.0733
GBAP4937-15	BOLD:ACB3504	Anura	38.0733	104.691	China	Northern	4	40	35	30	4	Asia	38.0733
GBAP4980-15	BOLD:ACB3504	Anura	38.0733	104.691	China	Northern	4	40	35	30	4	Asia	38.0733
GBAP5100-15	BOLD:ACS5262	Anura	38.0733	104.691	China	Northern	4	40	35	30	4	Asia	38.0733
GBAP5117-15	BOLD:ACS5262	Anura	38.0733	104.691	China	Northern	4	40	35	30	4	Asia	38.0733
GBAP5259-15	BOLD:ACB3504	Anura	38.0733	104.691	China	Northern	4	40	35	30	4	Asia	38.0733
GBAP5354-15	BOLD:ACB3504	Anura	38.0733	104.691	China	Northern	4	40	35	30	4	Asia	38.0733
GBAP5576-15	BOLD:ACW0333	Anura	-19.0416	46.6849	Madagascar	Southern	9	-10	-15	-20	9	Africa	-15.5944
GBMIN91940-17	BOLD:ADJ6189	Anura	38.0733	104.691	China	Northern	4	40	35	30	4	Asia	38.0733
GBMIN92316-17	BOLD:ADH4831	Anura	8.72939	39.9149	Ethiopia	Northern	7	10	5	0	7	Africa	7.756
GBMND1272-21	BOLD:ACA3749	Anura	-13.432	-40.436	Brazil	Southern	9	-10	-15	-20	9	Americas	-15.5944
IMSAM235-09	BOLD:AAC2139	Anura	64.1	18.3833	Sweden	Northern	1	70	65	60	1	Europe	62.7342
LIN261-06	BOLD:AAA6596	Anura	-1.40971	120.301	Indonesia	Southern	8	0	-5	-10	8	Asia	-5.04883
TPZAN128-18	BOLD:ADL4555	Anura	24.8322	121.746	Taiwan	Northern	5	30	25	20	5	Asia	23.8744
WAMAL397-10	BOLD:AAT9673	Anura	-27.2569	114.189	Australia	Southern	10	-20	-25	-30	10	Oceania	-23.88
WAMID311-10	BOLD:AAT9082	Anura	-10.1833	123.767	Indonesia	Southern	9	-10	-15	-20	9	Asia	-15.5944
WAMIR013-10	BOLD:AAY4806	Anura	-9.8333	124.483	Indonesia	Southern	8	0	-5	-10	8	Asia	-5.04883
DBAFI493-13	BOLD:ACG0909	Anura	-20.224	-44.28	Brazil	Southern	10	-20	-25	-30	10	Americas	-23.88
GBAP20316-19	BOLD:ACD9339	Anura	9.712	-83.949	Costa Rica	Northern	7	10	5	0	7	Americas	7.756
GBMNA13958-19	BOLD:ADW3185	Anura	4.18775	-72.6445	Colombia	Northern	7	10	5	0	7	Americas	7.756
GBMND1047-21	BOLD:ABY6883	Anura	-20.7591	-54.8766	Brazil	Southern	10	-20	-25	-30	10	Americas	-23.88
GBMNE66381-22	BOLD:AAM2275	Anura	-16.42	126.1	Australia	Southern	9	-10	-15	-20	9	Oceania	-15.5944
IMSAM465-09	BOLD:AAA3240	Anura	35.345	-5.37444	Morocco	Northern	4	40	35	30	4	Africa	38.0733
