processid	bin_uri	order_name	lat	lon	country	hemisphere	lat_bin	lat_max	lat_mid	lat_min	lat_band	continent
GBAP5483-15	BOLD:ACH4056	Anura	62.7342	17.0624	Sweden	Northern	1	70	65	60	1	Europe
GBCOC3069-23	BOLD:AAH9725	Anura	30.0671	100.117	China	Northern	4	40	35	30	4	Asia
GBCOC3223-23	BOLD:AAH9725	Anura	30.4822	99.5467	China	Northern	4	40	35	30	4	Asia
GBCOC3265-23	BOLD:AAH9725	Anura	28.945	100.351	China	Northern	5	30	25	20	5	Asia
GBCOC3287-23	BOLD:AAH9725	Anura	28.3592	100.518	China	Northern	5	30	25	20	5	Asia
GBMAB867-15	BOLD:ACW0988	Anura	23.8744	-101.554	Mexico	Northern	5	30	25	20	5	Americas
GBMIN92845-17	BOLD:ACD2618	Anura	38.0733	104.691	China	Northern	4	40	35	30	4	Asia
GBMIN93263-17	BOLD:ACA5319	Anura	-1.56427	-78.463	Ecuador	Southern	8	0	-5	-10	8	Americas
GBMND1252-21	BOLD:ACA4464	Anura	-11.589	-41.1207	Brazil	Southern	9	-10	-15	-20	9	Americas
GBMND914-21	BOLD:ABY6883	Anura	-12.1239	-60.2917	Brazil	Southern	9	-10	-15	-20	9	Americas
GBMNE66375-22	BOLD:AAM2274	Anura	-15.99	125.33	Australia	Southern	9	-10	-15	-20	9	Oceania
IQHLM202-06	BOLD:AAA8333	Anura	0.616911	128.38	Indonesia	Northern	7	10	5	0	7	Asia
MRMSR108-11	BOLD:AAZ1591	Anura	10.209	-84.1615	Costa Rica	Northern	6	20	15	10	6	Americas
VTCOL065-17	BOLD:AAB9718	Anura	44.0091	-77.7424	Canada	Northern	3	50	45	40	3	Americas
WAFRA012-14	BOLD:ACM4053	Anura	-3.09	10.441	Gabon	Southern	8	0	-5	-10	8	Africa
WAFRA034-14	BOLD:ACM4178	Anura	-3.168	10.499	Gabon	Southern	8	0	-5	-10	8	Africa
WAFRA046-14	BOLD:ACM3966	Anura	-3.082	10.437	Gabon	Southern	8	0	-5	-10	8	Africa
WAFRA412-14	BOLD:ACM4600	Anura	-2.73	10.019	Gabon	Southern	8	0	-5	-10	8	Africa
WAMAL600-10	BOLD:AAT9130	Anura	-34.3008	115.148	Australia	Southern	11	-30	-35	-40	11	Oceania
WAMAM1149-10	BOLD:AAM5238	Anura	-21.9133	118.972	Australia	Southern	10	-20	-25	-30	10	Oceania
WAMID032-10	BOLD:AAW0034	Anura	-8.2166	114.5	Indonesia	Southern	8	0	-5	-10	8	Asia
AMPAS071-05	BOLD:AAA3971	Anura	42.8802	-78.9516	Canada	Northern	3	50	45	40	3	Americas
AMPSA014-12	BOLD:ABX1848	Anura	-9.36256	30.1237	Zambia	Southern	8	0	-5	-10	8	Africa
ANFVL007-16	BOLD:AAA7514	Anura	44.5634	-76.5532	Canada	Northern	3	50	45	40	3	Americas
BIFZH250-17	BOLD:ADO2922	Anura	-3.36535	133.838	Indonesia	Southern	8	0	-5	-10	8	Asia
BSACU103-11	BOLD:AAT9115	Anura	20.251	-74.167	Cuba	Northern	5	30	25	20	5	Americas
BSECO307-11	BOLD:ABV8158	Anura	7.3962	-73.4955	Colombia	Northern	7	10	5	0	7	Americas
DBABA634-12	BOLD:ACA3587	Anura	-27.565	-51.658	Brazil	Southern	10	-20	-25	-30	10	Americas
DBAFI385-13	BOLD:ACG1218	Anura	-21.877	-41.916	Brazil	Southern	10	-20	-25	-30	10	Americas
EANAA070-12	BOLD:ACA1660	Anura	38.886	-80.535	United States	Northern	4	40	35	30	4	Americas
GBAAW71008-24	BOLD:AGE7671	Anura	5.06	-75.53	Colombia	Northern	7	10	5	0	7	Americas
GBAP11846-19	BOLD:ACB7937	Anura	-11.5246	-54.3552	Brazil	Southern	9	-10	-15	-20	9	Americas
GBAP5174-15	BOLD:ACB3504	Anura	38.0733	104.691	China	Northern	4	40	35	30	4	Asia
GBCOC2390-23	BOLD:ADC9938	Anura	39.8698	115.691	China	Northern	4	40	35	30	4	Asia
GBMIN92682-17	BOLD:ACA3404	Anura	-11.5246	-54.3552	Brazil	Southern	9	-10	-15	-20	9	Americas
GBMND763-21	BOLD:ACA3747	Anura	-20.3477	-43.4294	Brazil	Southern	10	-20	-25	-30	10	Americas
LIN184-06	BOLD:AAJ2114	Anura	-3.36153	119.361	Indonesia	Southern	8	0	-5	-10	8	Asia
WAFRA214-14	BOLD:ACM4520	Anura	-3.233	10.619	Gabon	Southern	8	0	-5	-10	8	Africa
WAFRA384-14	BOLD:ACM4028	Anura	0.603	9.337	Gabon	Northern	7	10	5	0	7	Africa
WAMAL101-10	BOLD:AAZ5206	Anura	-15.5519	125.479	Australia	Southern	9	-10	-15	-20	9	Oceania
WAMAL204-10	BOLD:AAT9165	Anura	-15.6666	128.683	Australia	Southern	9	-10	-15	-20	9	Oceania
WAMAM048-10	BOLD:AAN3654	Anura	-15.9894	125.327	Australia	Southern	9	-10	-15	-20	9	Oceania
CNPVT137-16	BOLD:AAA5418	Anura	53.6633	-112.822	Canada	Northern	2	60	55	50	2	Americas
DBNGF174-10	BOLD:AAZ3876	Anura	-5.81483	145.156	Papua New Guinea	Southern	8	0	-5	-10	8	Oceania
GBAAW46781-24	BOLD:AEH6496	Anura	3.57	-76.59	Colombia	Northern	7	10	5	0	7	Americas
GBAP12346-19	BOLD:ACC6241	Anura	-1.56427	-78.463	Ecuador	Southern	8	0	-5	-10	8	Americas
GBAP20504-19	BOLD:AAI0593	Anura	10.9252	79.2708	India	Northern	6	20	15	10	6	Asia
GBAP857-09	BOLD:AAA5395	Anura	0.8072	127.682	Indonesia	Northern	7	10	5	0	7	Asia
GBMIN93401-17	BOLD:ACC4058	Anura	-8.52272	-74.1142	Peru	Southern	8	0	-5	-10	8	Americas
GBMND1113-21	BOLD:ABY6883	Anura	-5.0946	-35.8784	Brazil	Southern	8	0	-5	-10	8	Americas
MYARA048-17	BOLD:ADG3321	Anura	12.4342	99.1436	Myanmar	Northern	6	20	15	10	6	Asia
QUANH019-18	BOLD:AAA3972	Anura	38.5917	-77.5436	United States	Northern	4	40	35	30	4	Americas
SSDWA8653-16	BOLD:AAB7011	Anura	49.2809	-117.043	Canada	Northern	3	50	45	40	3	Americas
WAF080-15	BOLD:ACY1475	Anura	6.24246	-0.5571	Ghana	Northern	7	10	5	0	7	Africa
WAMAL381-10	BOLD:AAU1526	Anura	-25.1341	113.806	Australia	Southern	10	-20	-25	-30	10	Oceania
WAMAM831-10	BOLD:AAM1490	Anura	-31.5166	117.733	Australia	Southern	11	-30	-35	-40	11	Oceania
AMPAS056-05	BOLD:AAA3972	Anura	42.5401	-80.1122	Canada	Northern	3	50	45	40	3	Americas
DBAFI256-13	BOLD:ACG0872	Anura	-25.924	-49.173	Brazil	Southern	10	-20	-25	-30	10	Americas
DBNGF040-10	BOLD:AAZ3766	Anura	-5.13	145.77	Papua New Guinea	Southern	8	0	-5	-10	8	Oceania
